"device","model","min_slope_ap_temp","min_slope_cpu_temp","min_slope_pmic_temp","min_slope_battery_temp","min_slope_level","min_slope_voltage","std_slope_ap_temp","std_slope_cpu_temp","std_slope_pmic_temp","std_slope_battery_temp","std_slope_level","std_slope_voltage","avg_slope_ap_temp","avg_slope_cpu_temp","avg_slope_pmic_temp","avg_slope_battery_temp","avg_slope_level","avg_slope_voltage","max_slope_ap_temp","max_slope_cpu_temp","max_slope_pmic_temp","max_slope_battery_temp","max_slope_level","max_slope_voltage","min_ap_temp","min_cpu_temp","min_pmic_temp","min_battery_temp","max_ap_temp","max_cpu_temp","max_pmic_temp","max_battery_temp","number_measures","write_date"
"010376029106241121V2X","FX200,6",-1.4342629482071714,-5.0199203187251,-1.9123505976095618,-0.48780487804878053,-0.5772005772005773,-27.729083665338646,0.16167257277393116,0.7590247295439552,0.23564329598775197,0.06797601455138519,0.149305454156036,1.8548323873411092,0.013525639184439383,0.0669525052179689,0.024811120796094162,0.0016193277208996176,-0.003454788717486658,-0.0577320232450927,1.027027027027027,7.1328671328671325,1.5,0.6486486486486487,1.8502202643171806,15.379746835443036,22,26,24,21,58,70,68,45,452,"2022-07-18 12:52:11.304488"
"010376029106241121V2P","FX200,6",-0.4405690683799908,-2.8412256267409473,-0.7058823529411764,-0.36809815950920244,-2.2296173044925127,-22.229617304492514,0.1792264270746778,0.6735814577015571,0.23713264108425147,0.09662715026935997,0.32547098363949795,3.6225641419393275,0.0016050961193553274,-0.011209140998572535,0.006081171658232138,-0.0077038470985382745,-0.010367372056683494,0.031496546638615945,1.1404435058078142,4.692737430167598,1.3938753959873285,0.5324459234608986,1.855043081601622,21.795142555438225,19,26,21,18,43,54,50,37,133,"2022-07-18 12:52:11.304488"
"010376029106241121V2K","FX200,6",-0.7072691552062869,-4.766355140186915,-0.9135559921414538,-0.4946996466431095,-1.9290465631929046,-14.567627494456763,0.22298138625310376,0.5441191387904594,0.2645342834473841,0.12750267795064268,0.37432284611497696,3.1798221082735236,0.02262835455665186,0.03526828246688408,0.027825047582104218,0.0012526423570704223,-0.006832798462060239,-0.01465013758269631,1.0463215258855587,2.320441988950276,1.111716621253406,0.8174386920980926,2.7564102564102564,23.392226148409893,19,26,22,20,59,73,67,50,232,"2022-07-18 12:52:11.304488"
"010376029106241121V2E","FX200,6",-0.2,-0.6918238993710691,-0.23333333333333334,-0.26533996683250416,-0.4,-10.848585690515808,0.11834590946147726,0.4383196947184488,0.18908419636376078,0.1528449294388681,0.20017669327665588,4.02258977138284,0.023951955771681237,0.04775800436835983,0.03345605665960602,-0.014249503773577407,-0.02349146301237938,-0.023291380703845704,0.28680688336520077,1.9873817034700316,0.662460567823344,0.3993344425956739,0.7643312101910829,10.758162700608743,29,26,31,21,37,48,44,41,32,"2022-07-18 12:52:11.304488"
"010376029106241121V29","FX200,6",-0.9090909090909092,-2.7272727272727275,-1.8181818181818183,-0.325,-1.0666666666666667,-18.24,0.17215880851474194,0.7131715364875867,0.2893746338187019,0.08328586137643873,0.26153483664381644,4.415135820198929,-0.0007958923303913684,-0.011137230960581309,-0.020009718672887707,-0.003733893233414489,-0.02395450278510098,-0.019915701916425284,0.6164383561643836,5.813148788927336,0.821917808219178,0.4666666666666667,1.0859728506787332,16.5149833518313,23,26,25,23,43,56,48,46,113,"2022-07-18 12:52:11.304488"
"010376029106241121V1H","FX200,6",-1.791044776119403,-2.6865671641791042,-0.8955223880597015,-0.40268456375838924,-0.6440071556350626,-9.445438282647585,0.31540562140192946,0.4688021596448604,0.3116487926273338,0.0746291542848781,0.2938052276027051,2.025797170410173,0.02814275705112299,0.04449215559249693,0.039457702090707425,-0.0003156747740974903,-0.0030393341496710337,-0.19981443943603142,2.8187919463087248,3.221476510067114,2.8187919463087248,0.3220035778175313,2.947598253275109,15.09825327510917,20,25,22,20,43,53,51,38,150,"2022-07-18 12:52:11.304488"
"010376029106241121V0M","FX200,6",-0.4635441815548044,-0.4635441815548044,-0.4925156929019798,-0.3919007184846506,-0.24599329109206114,-7.112810707456979,0.20065861508671937,0.2541672380312121,0.24923805533754118,0.1137426013813155,0.0663331560171348,2.0230400258003165,0.03695536141957645,0.061079025905873725,0.04663020160143361,-0.010086801933033645,-0.05163697664616353,-0.15785168432985883,0.6883365200764818,0.8030592734225622,0.9177820267686424,0.2294455066921606,0,4.25,27,26,30,30,47,59,52,43,29,"2022-07-18 12:52:11.304488"
"010376029106241121UZB","FX200,6",-1.3333333333333335,-2.946428571428571,-1.777777777777778,-0.5930807248764415,-0.7832009080590239,-10.095990965556183,0.2120992467245725,0.4695883699074194,0.276699475799316,0.10018323853643388,0.2505354824396358,2.6990175484540906,-0.00023972131843313297,-0.020358883732130368,0.0010248217364011126,0.0016053039591095945,-0.004977272401198259,-0.015179760987573029,0.6666666666666667,2.8938906752411575,1.2371134020618557,0.46511627906976744,1.8248557944415311,19.09090909090909,19,24,22,19,48,61,58,43,487,"2022-07-18 12:52:11.304488"
"010376029106241121UZA","FX200,6",-1.3740458015267176,-6.412213740458015,-1.3740458015267176,-0.49586776859504134,-1.0293303818483674,-11.295681063122924,0.23642063082074774,0.7727681142910706,0.36583501333132834,0.08730885018287156,0.3139664947878116,2.853633954099924,0.009723422811598149,0.017123577709902235,0.024372657749580286,-0.001509439556651142,0.008866405330624907,-0.05694289578000252,1.7266187050359714,4.958677685950414,2.975206611570248,0.4580152671755725,2.9519071310116085,14.989231873653983,20,25,24,15,42,51,50,37,166,"2022-07-18 12:52:11.304488"
"010376029106241121UZ8","FX200,6",-0.631578947368421,-4.012158054711246,-0.9473684210526316,-0.24318349299926306,-1.263157894736842,-6,0.22607463080486712,1.0748324991720704,0.32651930829795156,0.12560501479169212,0.5277009178086675,3.283805634382571,0.018348699555255792,0.04016524565919261,0.03452151824320024,0.01248122924133345,-0.01476319484006224,-0.06712169348546977,1.3432835820895521,9.402985074626866,2.2388059701492535,0.631578947368421,3.0249307479224377,20.343490304709142,22,26,24,22,49,63,57,48,126,"2022-07-18 12:52:11.304488"
"010376029106241121UZ5","FX200,6",-0.8921933085501859,-0.8921933085501859,-1.1152416356877324,-0.13266998341625208,-0.19889502762430938,-2.4198895027624308,0.27264388213002183,0.35915861486043416,0.36604022820666104,0.06813956268545458,0.04824494523009551,0.9933262739865085,-0.030203290372316928,-0.0348297063172267,-0.023039806275517962,-0.009848671242404211,-0.020384008309491455,-0.043983758050651536,0.3907380607814761,0.5687203791469195,0.5687203791469195,0.19889502762430938,0,2.4279379157427936,28,35,32,25,44,54,51,36,21,"2022-07-18 12:52:11.304488"
"010376029106241121UYQ","FX200,6",-1.005586592178771,-6.242774566473988,-0.9090909090909092,-0.430622009569378,-0.7146556188503366,-12.971175166297117,0.17779578097930393,0.6341507219848139,0.21835062721256818,0.06631217638500611,0.18752514750010624,3.0564301572331716,0.008892953863476485,-0.021438023404124075,0.008996653342666187,-0.0011946248050188552,-0.005938932484365604,0.020141449558070953,1.005586592178771,2.346368715083799,1.2698412698412698,0.3468208092485549,1.0333333333333332,28.936170212765955,21,26,23,20,49,62,58,43,522,"2022-07-18 12:52:11.304488"
"010376029106241121UYL","FX200,6",-0.41666666666666663,-1.6666666666666665,-0.5013927576601671,-0.3342618384401114,-0.5158516926383665,-5.509641873278237,0.10514764513654445,0.3460439812555706,0.1496057670490335,0.05202995441494388,0.1845976376733806,1.6452248029679044,0.005734807126314947,0.012461046971420947,0.009344127282083448,0.0007703768399850142,0.0024229457834513786,0.02172200946001452,1.094224924012158,5.1063829787234045,1.2765957446808511,0.29654036243822074,3.074484944532488,26.117274167987322,15,22,17,15,48,60,55,36,426,"2022-07-18 12:52:11.304488"
"010376029106241121UYF","FX200,6",-0.31746031746031744,-6.349206349206349,-0.9523809523809523,-0.21629416005767843,-0.4421768707482993,-7.833333333333334,0.17855392528430925,1.1885227927642419,0.28836415199524296,0.06669341176794054,0.3918265162016692,4.568270146271933,0.008555220404915668,-0.18603578950465857,-0.00908549245260133,-0.0025649578917666415,0.07144846944485858,0.7626467046797568,0.6707657909446618,0.8719955282280604,0.8384572386808273,0.13333333333333333,1.0061486864169926,15.394074902179987,26,26,28,24,47,61,58,33,32,"2022-07-18 12:52:11.304488"
"010376029106241121UY9","FX200,6",-0.5,-0.5963556046383214,-0.6,-0.2,-2.1321488062187677,-11.993337034980566,0.08129516722499044,0.10466881926715717,0.10595444454898836,0.045831459718033665,0.1702849866365209,1.3250206397980793,0.001827770460546623,0.003648278366972495,0.0026412005014429456,0.0008362358920329732,-8.644227173763436e-05,-0.004981033754889255,0.3991130820399113,0.4838709677419355,0.532150776053215,0.36646307606885065,0.7786589762076424,7.895613548028873,16,24,18,16,36,47,43,30,295,"2022-07-18 12:52:11.304488"
"010376029106241121UY3","FX200,6",-0.29189189189189185,-0.6586513329848406,-0.4332129963898917,-0.09944751381215469,-0.46875,-3.5265700483091784,0.09252828980174706,0.29260774651702137,0.2016581172417789,0.029042561840253948,0.13606494061354202,0.8500171073244126,0.009485985834347552,0.038169560807692765,0.029191356922090735,-0.0015013637150577985,-0.00512285000693598,-0.026949337849420357,0.46875,2.34375,1.875,0.19491066594477532,1.3621262458471761,4.584717607973422,23,26,26,24,49,61,57,37,221,"2022-07-18 12:52:11.304488"
"010376029106241121UY2","FX200,6",-0.44776119402985076,-5.9016393442622945,-0.9836065573770493,-0.16429353778751368,-0.565410199556541,-9.705882352941178,0.09388733164575003,0.733525652144963,0.14310963263960272,0.042189987686477776,0.3146717028640514,1.9259194967875117,0.005830697749242065,0.0021994685127238013,0.00030401658557128937,0.0004823206848588966,-0.007136910437605171,-0.10162121053868066,0.7843137254901961,4.705882352941177,1.1764705882352942,0.36423841059602646,2.958448753462604,14.726368159203979,25,26,27,23,39,51,46,35,292,"2022-07-18 12:52:11.304488"
"010376029106241121UXY","FX200,6",-1.25,-5.397923875432526,-1.7999999999999998,-0.6513872135102533,-1.5503023639362288,-14.58544839255499,0.26753140138028625,0.597908871611268,0.37586227176386267,0.14190745824558518,0.47604730087684044,5.260784271669049,0.010162272999090494,0.014627066666583045,0.017638660367604107,-0.0027979159186366943,-0.003397765921108768,0.05028774316490085,3.1746031746031744,5.56701030927835,4.444444444444445,0.5079681274900398,3.001649257833975,36.55006031363088,24,26,25,21,52,71,64,48,532,"2022-07-18 12:52:11.304488"
"010376029106241121UXS","FX200,6",-0.34548944337811904,-0.8503937007874016,-0.3666666666666667,-0.09656652360515021,-0.30638297872340425,-12.740425531914894,0.10227701716835699,0.5083600920510224,0.14883627929134083,0.02792328465931105,0.12209990692276733,1.904187996352483,0.015432891265301556,0.10162831366249304,0.02671894442653107,-0.0014017404832385467,0.0008381587425764394,0.0426372494438569,0.7531380753138075,3.444976076555024,1.00418410041841,0.17872340425531916,0.9836065573770493,12.572062084257206,22,26,24,23,42,52,48,34,200,"2022-07-18 12:52:11.304488"
"010376029106241121UXM","FX200,6",-1.910828025477707,-3.0573248407643314,-3.4394904458598727,-0.2553191489361702,-0.7643312101910829,-6.146179401993355,0.29704428081002804,0.6125266259964202,0.43060360424452543,0.1095860643316266,0.375364798575015,1.4198729828993415,-0.005817762199385986,-0.029766029911400614,-0.010911550877392722,-0.002260354375417208,-0.022193380552214058,-0.03891141777747458,1.1946902654867257,1.7920353982300885,1.3274336283185841,0.4977876106194691,1.6199694345389708,6.6076369673491975,22,26,24,23,64,80,71,48,125,"2022-07-18 12:52:11.304488"
"010376029106241121UXJ","FX200,6",-0.2467866323907455,-4.852941176470589,-0.311284046692607,-0.13303769401330376,-0.37014188772362744,-4.811844540407156,0.06084011709367605,0.3103086608246063,0.052865235064208524,0.026306498583751947,0.13563079023106847,0.6310472092686575,0.004116543507960117,-0.007638030068075978,0.0022450316650761528,0.0007201701668034592,-0.008162200507296274,-0.037430750030726594,0.8823529411764706,2.0689655172413794,0.4811844540407156,0.2328159645232816,2.3946784922394677,8.547671840354766,21,26,23,22,39,49,44,36,414,"2022-07-18 12:52:11.304488"
"010376029106241121UWC","FX200,6",-0.15641293013555788,-0.15641293013555788,-0.15641293013555788,-0.03322259136212624,-0.078125,-0.882943143812709,0.12951618956893565,0.19090398446535778,0.12951746247755985,0.01485759453488232,0.029847820190356675,0.7780443348472558,0.03112071150952772,0.06266767322002717,0.03118010385162761,-0.0066445182724252485,-0.04286870087821258,-0.307735334189463,0.20066889632107024,0.234375,0.20066889632107024,0,0,1.0631229235880397,29,37,34,29,34,44,39,30,6,"2022-07-18 12:52:11.304488"
"010376029106241121UW9","FX200,6",-0.09878169245966414,-0.1975633849193283,-0.09878169245966414,-0.06666666666666667,0,-1.9777777777777779,0.038515610848881034,0.08198829664752735,0.038515610848881034,0.027866748703509733,0.013533092501564523,1.6865163363009397,-0.03933317209174788,-0.04280313086162643,-0.03933317209174788,-0.01663597298956415,0.005524861878453039,0.11287535081990042,0,0.04444444444444444,0,0,0.03314917127071824,1.8563535911602211,23,26,26,26,34,40,37,30,7,"2022-07-18 12:52:11.304488"
"010376029106241121UW7","FX200,6",-0.8228195282501372,-3.6923076923076925,-2.769230769230769,-0.5641592920353983,-1.9601328903654482,-14.99168975069252,0.27387991375095905,0.7182051939601486,0.4439857501031674,0.1319796896519217,0.4009859574950738,4.670866011344224,0.01683231457245389,0.03756735851051386,0.028317899012923708,0.0010722367032524004,0.0005810539230179864,-0.01604824092766554,1.8685121107266436,7.741935483870968,2.9508196721311473,0.7672634271099744,2.4279379157427936,24.77797513321492,22,26,24,18,60,73,70,58,490,"2022-07-18 12:52:11.304488"
